"ID","fixed_acidity","volatile_acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","pH","sulphates","alcohol","quality","type","location","type_imputed"
5720,9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,"6","red","California","red"
5721,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,"5","red","California","red"
5722,7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,"6","white","California","white"
5723,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,"6","white","California","white"
5724,7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,"6","white","Texas","white"
5725,6.6,0.17,0.36,1.9,0.036,38,110,0.99056,3.05,0.54,11.4,"6","white","California","white"
5726,7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,"6","white","Texas","white"
5727,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,"6","white","California","white"
5728,6.8,0.52,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6,"6","white","California","white"
5729,5.8,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,"6","white","Texas","white"
5730,7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8,"6","white","California","white"
5731,7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,"6","white","California","white"
5732,7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9,"6","white","California","white"
5733,7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,"6","red","Texas","red"
5734,7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,"5","white","California","white"
5735,7,0.22,0.29,8.9,0.05,24,90,0.99556,3.29,0.46,9.8,"6","white","California","white"
5736,9.7,0.14,0.59,1.5,0.049,23,142,0.9958,2.98,0.62,9.5,"6","white","Texas","white"
5737,7.4,0.32,0.22,1.7,0.051,50,179,0.9955,3.28,0.69,8.9,"6","white","Texas","white"
5738,7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,"5","red","Texas","red"
5739,6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,"6","red","California","red"
5740,6.8,0.26,0.4,7.5,0.046,45,179,0.99583,3.2,0.49,9.3,"5","white","California","white"
5741,6.7,0.21,0.34,1.4,0.049,36,112,0.99091,3.02,0.5,11,"5","white","California","white"
5742,6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,"6","red","Texas","red"
5743,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,"7","red","California","red"
5744,8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,"5","red","Texas","red"
5745,6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,"6","red","California","red"
5746,7.1,0.21,0.31,3.8,0.021,40,142,0.99215,3.17,0.39,10.8,"6","white","California","white"
5747,7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,"6","white","California","white"
5748,6.7,0.14,0.51,4.3,0.028,57,124,0.99176,2.91,0.54,10.7,"5","white","California","white"
5749,6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,"6","red","Texas","red"
5750,6.7,0.14,0.46,1.6,0.036,15,92,0.99264,3.37,0.49,10.9,"6","white","California","white"
5751,7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,"5","white","California","white"
5752,8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,"5","red","Texas","red"
5753,6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,"6","white","Texas","white"
5754,7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,"6","white","California","white"
5755,7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,"6","white","Texas","white"
5756,7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10,"6","white","California","white"
5757,6.8,0.24,0.49,19.3,0.057,55,247,1.00055,3,0.56,8.7,"6","white","Texas","white"
5758,6.7,0.24,0.41,8.7,0.036,29,148,0.9952,3.22,0.62,9.9,"7","white","Texas","white"
5759,6.6,0.25,0.32,5.6,0.039,15,68,0.99163,2.96,0.52,11.1,"6","white","California","white"
5760,7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,"6","white","California","white"
5761,7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,"6","white","Texas","white"
5762,6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8,"6","white","California","white"
5763,8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,"5","red","California","red"
5764,5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,"6","white","Texas","white"
5765,6.4,0.3,0.3,2.25,0.038,8,210,0.9937,3.2,0.62,9.9,"5","white","Texas","white"
5766,6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,"5","white","California","white"
5767,7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,0.68,9.7,"6","red","California","red"
5768,5.3,0.76,0.03,2.7,0.043,27,93,0.9932,3.34,0.38,9.2,"7","white","Texas","white"
5769,8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,"6","white","California","white"
5770,7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,"5","red","Texas","red"
5771,6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,"6","white","California","white"
5772,7.9,0.35,0.28,12.9,0.032,13,63,0.9932,2.99,0.43,13,"5","white","California","white"
5773,7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,"6","red","California","red"
5774,8.1,0.24,0.33,10.2,0.048,46,141,0.9972,3.16,0.48,10.3,"6","white","California","white"
5775,7.2,0.22,0.35,5.5,0.054,37,183,0.99474,3.08,0.5,10.3,"6","white","California","white"
5776,6.6,0.2,0.27,10.9,0.038,29,130,0.99496,3.11,0.44,10.5,"6","white","California","white"
5777,6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,"6","white","California","white"
5778,6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,"7","white","California","white"
5779,6.9,0.24,0.34,4.7,0.04,43,161,0.9935,3.2,0.59,10.6,"6","white","Texas","white"
5780,7.6,0.27,0.3,9.2,0.018,23,96,0.9938,3.08,0.29,11,"8","white","California","white"
5781,8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,"6","white","California","white"
5782,5.2,0.3,0.34,1.5,0.038,18,96,0.98942,3.56,0.48,13,"6","white","California","white"
5783,8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,"6","red","California","red"
5784,6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,"5","white","California","white"
5785,6.2,0.19,0.29,4.3,0.045,33,126,0.99658,3.18,0.42,9.3,"6","white","California","white"
5786,5.9,0.32,0.33,2.1,0.027,35,138,0.98945,3.37,0.42,12.7,"6","white","California","white"
5787,6.6,0.25,0.42,11.3,0.049,77,231,0.9966,3.24,0.52,9.5,"5","white","California","white"
5788,5.8,0.23,0.27,1.8,0.043,24,69,0.9933,3.38,0.31,9.4,"5","white","California","white"
5789,6.2,0.32,0.5,6.5,0.048,61,186,0.9948,3.19,0.45,9.6,"6","white","California","white"
5790,7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,"6","white","Texas","white"
5791,8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,"5","red","California","red"
5792,9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2,"5","red","California","red"
5793,6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,"5","white","Texas","white"
5794,7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,"6","white","California","white"
5795,7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,"6","red","Texas","red"
5796,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,"6","red","Texas","red"
5797,6.7,0.17,0.5,2.1,0.043,27,122,0.9923,3.15,0.45,10.3,"6","white","California","white"
5798,6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,"6","red","California","red"
5799,7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7,"6","white","Texas","white"
5800,7,0.23,0.28,2.7,0.053,16,92,0.99372,3.18,0.56,9.3,"6","white","Texas","white"
5801,7.3,0.21,0.49,1.8,0.038,44,152,0.9912,3.32,0.44,12.6,"5","white","California","white"
5802,6.2,0.28,0.51,7.9,0.056,49,206,0.9956,3.18,0.52,9.4,"6","white","California","white"
5803,5.9,0.21,0.31,1.8,0.033,45,142,0.98984,3.35,0.5,12.7,"6","white","California","white"
5804,7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,"7","white","Texas","white"
5805,7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,"6","white","California","white"
5806,7.3,0.36,0.62,7.1,0.033,48,185,0.99472,3.14,0.62,10.6,"6","white","California","white"
5807,6.5,0.34,0.36,11,0.052,53,247,0.9984,3.44,0.55,9.3,"5","white","California","white"
5808,8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12,"6","white","California","white"
5809,6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,"5","white","Texas","white"
5810,5.7,0.2,0.3,2.5,0.046,38,125,0.99276,3.34,0.5,9.9,"6","white","California","white"
5811,6.6,0.17,0.28,1.8,0.042,62,178,0.99204,3.15,0.42,10.2,"6","white","California","white"
5812,8.1,0.2,0.49,11.8,0.048,46,212,0.9968,3.09,0.46,10,"5","white","California","white"
5813,6.4,0.28,0.23,6,0.051,50,162,0.994,3.15,0.52,10.2,"6","white","Texas","white"
5814,6.2,0.34,0.3,11.1,0.047,28,237,0.9981,3.18,0.49,8.7,"6","white","Texas","white"
5815,7.2,0.26,0.3,2.1,0.033,50,158,0.9909,3.33,0.43,12.1,"6","white","California","white"
5816,9.8,0.36,0.45,1.6,0.042,11,124,0.9944,2.93,0.46,10.8,"5","white","Texas","white"
5817,7.2,0.2,0.28,1.6,0.028,13,168,0.99203,3.17,1.06,11.5,"6","white","California","white"
5818,5.9,0.37,0.3,1.5,0.033,35,95,0.98986,3.36,0.56,12,"5","white","California","white"
5819,6.7,0.19,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11,"5","white","Texas","white"
5820,6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,"6","white","California","white"
5821,6.5,0.51,0.15,3,0.064,12,27,0.9929,3.33,0.59,12.8,"7","red","California","red"
5822,11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,"6","red","Texas","red"
5823,8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,"6","white","California","white"
5824,7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,"5","white","Texas","white"
5825,6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,"6","white","Texas","white"
5826,6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,"5","white","California","white"
5827,6.9,0.36,0.34,4.2,0.018,57,119,0.9898,3.28,0.36,12.7,"6","white","California","white"
5828,6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,"5","red","Texas","red"
5829,7.6,0.39,0.32,3.6,0.035,22,93,0.99144,3.08,0.6,12.5,"8","white","California","white"
5830,7.2,0.25,0.32,1.5,0.047,27,132,0.9933,3.26,0.44,10.5,"5","white","Texas","white"
5831,8.6,0.33,0.4,2.6,0.083,16,68,0.99782,3.3,0.48,9.4,"5","red","Texas","red"
5832,5.3,0.3,0.16,4.2,0.029,37,100,0.9905,3.3,0.36,11.8,"6","white","California","white"
5833,6.3,0.2,0.18,10.6,0.045,57,159,0.99666,3.09,0.54,9.2,"5","white","California","white"
5834,9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,"6","red","California","red"
5835,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,"6","red","California","red"
5836,6.3,0.22,0.28,2.4,0.042,38,102,0.98998,3.14,0.37,11.6,"7","white","California","white"
5837,5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,"5","white","California","white"
5838,7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,"5","white","California","white"
5839,6.7,0.21,0.49,1.4,0.047,30,114,0.9914,2.92,0.42,10.8,"5","white","California","white"
5840,6.6,0.16,0.57,1.1,0.13,58,140,0.9927,3.12,0.39,9.3,"7","white","California","white"
5841,8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,"6","white","California","white"
5842,5.5,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,"5","white","California","white"
5843,7.2,0.22,0.49,1,0.045,34,140,0.99,3.05,0.34,12.7,"6","white","California","white"
5844,6,0.31,0.38,4.8,0.04,41,101,0.98968,3.24,0.56,13.1,"6","white","California","white"
5845,7.3,0.41,0.29,1.8,0.032,26,74,0.98889,2.96,0.35,13,"5","white","California","white"
5846,7.6,0.33,0.41,13.7,0.045,44,197,0.9989,3.18,0.64,9.1,"6","white","Texas","white"
5847,5.9,0.48,0.3,1.5,0.037,19,78,0.99057,3.47,0.42,11.9,"6","white","California","white"
5848,5.5,0.24,0.32,8.7,0.06,19,102,0.994,3.27,0.31,10.4,"6","white","Texas","white"
5849,6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,"6","white","California","white"
5850,8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,"6","red","Texas","red"
5851,9.6,0.41,0.37,2.3,0.091,10,23,0.99786,3.24,0.56,10.5,"5","red","Texas","red"
5852,6.9,0.32,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,"6","white","California","white"
5853,7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,"6","white","Texas","white"
5854,7.8,0.25,0.41,3.7,0.042,37,149,0.9954,3.36,0.45,10,"6","white","California","white"
5855,7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.1,"6","red","California","red"
5856,7.8,0.3,0.4,1.8,0.028,23,122,0.9914,3.14,0.39,10.9,"6","white","California","white"
5857,7.8,0.965,0.6,65.8,0.074,8,160,1.03898,3.39,0.69,11.7,"6","white","California","white"
5858,7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,"6","white","Texas","white"
5859,5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,"6","white","Texas","white"
5860,7.8,0.19,0.26,8.9,0.039,42,182,0.996,3.18,0.46,9.9,"6","white","Texas","white"
5861,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,"6","white","Texas","white"
5862,7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,"6","red","California","red"
5863,6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9,"6","white","California","white"
5864,7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,"6","white","Texas","white"
5865,7.6,0.4,0.27,5.2,0.03,32,101,0.99172,3.22,0.62,12.3,"5","white","California","white"
5866,8.5,0.23,0.4,9.9,0.036,24,88,0.9951,3.02,0.42,10.5,"5","white","California","white"
5867,6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,"5","white","California","white"
5868,7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,"6","white","California","white"
5869,9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7,"5","red","Texas","red"
5870,7.4,0.29,0.5,1.8,0.042,35,127,0.9937,3.45,0.5,10.2,"6","white","California","white"
5871,11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,"6","red","California","red"
5872,8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5,"6","red","Texas","red"
5873,6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,"6","white","California","white"
5874,8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,"6","red","California","red"
5875,6.4,0.125,0.36,1.4,0.044,22,68,0.99014,3.15,0.5,11.7,"6","white","California","white"
5876,7.4,0.15,0.42,1.7,0.045,49,154,0.992,3,0.6,10.4,"6","white","Texas","white"
5877,6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,"6","white","California","white"
5878,8.4,0.25,0.39,2,0.041,4,10,0.99386,3.27,0.71,12.5,"6","red","California","red"
5879,7.6,0.3,0.4,2.2,0.054,29,175,0.99445,3.19,0.53,9.8,"6","white","Texas","white"
5880,9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,"5","red","Texas","red"
5881,7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,"6","red","California","red"
5882,6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,"6","white","California","white"
5883,7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,"6","white","Texas","white"
5884,7.2,0.26,0.44,7.1,0.027,25,126,0.993,3.02,0.34,11.1,"6","white","Texas","white"
5885,7,0.3,0.32,6.4,0.034,28,97,0.9924,3.23,0.44,11.8,"6","white","California","white"
5886,6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,"6","white","California","white"
5887,6,0.39,0.26,2.7,0.038,39,187,0.99325,3.41,0.5,10.8,"8","white","California","white"
5888,7,0.31,0.29,1.4,0.037,33,128,0.9896,3.12,0.36,12.2,"6","white","California","white"
5889,6.8,0.24,0.35,6.4,0.048,44,172,0.9944,3.29,0.55,10.5,"6","white","California","white"
5890,5.5,0.28,0.21,1.6,0.032,23,85,0.99027,3.42,0.42,12.5,"6","white","California","white"
5891,6.3,0.23,0.33,6.9,0.052,23,118,0.9938,3.23,0.46,10.4,"5","white","California","white"
5892,9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,"5","white","California","white"
5893,6.4,0.27,0.29,10.8,0.028,17,118,0.99356,3.18,0.37,11.2,"6","white","California","white"
5894,7.4,0.33,0.26,2.6,0.04,29,115,0.9913,3.07,0.52,11.8,"6","white","California","white"
5895,6.7,0.28,0.28,4.5,0.051,14,92,0.99224,3.36,0.58,11.9,"6","white","Texas","white"
5896,6.3,0.34,0.36,4.9,0.035,31,185,0.9946,3.15,0.49,9.7,"6","white","Texas","white"
5897,8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,"5","red","California","red"
5898,6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,"6","white","California","white"
5899,7.4,0.41,0.24,1.8,0.066,18,47,0.9956,3.37,0.62,10.4,"5","red","California","red"
5900,6.3,0.19,0.28,1.8,0.022,28,158,0.9907,3.2,0.64,11.4,"6","white","Texas","white"
5901,7.4,0.36,0.33,1.4,0.025,27,55,0.9915,3.21,0.33,11.2,"5","white","Texas","white"
5902,6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,"5","white","Texas","white"
5903,7.3,0.33,0.22,1.4,0.041,40,177,0.99287,3.14,0.48,9.9,"6","white","California","white"
5904,6.7,0.3,0.49,4.8,0.034,36,158,0.9945,3.12,0.45,9.9,"6","white","California","white"
5905,6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,"5","white","Texas","white"
5906,7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,"6","white","California","white"
5907,6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,"6","white","California","white"
5908,7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,"6","white","California","white"
5909,6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,"5","white","California","white"
5910,6,0.13,0.28,5.7,0.038,56,189.5,0.9948,3.59,0.43,10.6,"6","white","California","white"
5911,7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,"6","red","California","red"
5912,11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,"7","red","California","red"
5913,6.4,0.42,0.74,12.8,0.076,48,209,0.9978,3.12,0.58,9,"6","white","California","white"
5914,6.5,0.38,0.34,3.4,0.036,34,200,0.9937,3.14,0.76,10,"6","white","Texas","white"
5915,5.6,0.26,0.5,11.4,0.029,25,93,0.99428,3.23,0.49,10.5,"6","white","California","white"
5916,6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,"6","white","California","white"
5917,5.9,0.44,0.36,2.5,0.03,12,73,0.99201,3.22,0.48,10.8,"6","white","Texas","white"
5918,8.9,0.24,0.33,15.75,0.035,16,132,0.996,3,0.37,12.1,"6","white","California","white"
5919,5.9,0.37,0.1,1.6,0.057,39,128,0.9924,3.24,0.48,10.1,"6","white","Texas","white"
5920,6,0.28,0.22,12.15,0.048,42,163,0.9957,3.2,0.46,10.1,"5","white","Texas","white"
5921,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,"5","red","Texas","red"
5922,7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,"6","red","Texas","red"
5923,7.3,0.4,0.26,5.45,0.016,26,90,0.98951,2.84,0.54,13.2,"6","white","California","white"
5924,5.8,0.29,0.21,2.6,0.025,12,120,0.9894,3.39,0.79,14,"6","white","California","white"
5925,6.9,0.25,0.34,1.3,0.035,27,82,0.99045,3.18,0.44,12.2,"6","white","California","white"
5926,6.5,0.24,0.28,1.1,0.034,26,83,0.98928,3.25,0.33,12.3,"6","white","California","white"
5927,6.2,0.16,0.32,1.1,0.036,74,184,0.99096,3.22,0.41,11,"6","white","California","white"
5928,6,0.17,0.3,7.3,0.039,39,104,0.99252,2.91,0.57,11,"6","white","California","white"
5929,6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,"5","white","Texas","white"
5930,8,0.13,0.25,1.1,0.033,15,86,0.99044,2.98,0.39,11.2,"6","white","Texas","white"
5931,6.5,0.52,0.17,1.4,0.047,5,26,0.9932,3.26,0.32,10,"5","white","Texas","white"
5932,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,"6","red","Texas","red"
5933,7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,"5","white","California","white"
5934,6.3,0.15,0.34,11.4,0.05,25,96,0.99754,3.21,0.49,10,"5","white","Texas","white"
5935,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,"6","red","Texas","red"
5936,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,"6","red","Texas","red"
5937,7.1,0.53,0.07,1.7,0.071,15,24,0.9951,3.29,0.66,10.8,"5","red","California","red"
5938,6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,"6","white","California","white"
5939,6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,"5","red","Texas","red"
5940,7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,"5","white","Texas","white"
5941,6.2,0.21,0.29,1.6,0.039,24,92,0.99114,3.27,0.5,11.2,"6","white","California","white"
5942,7.9,0.11,0.49,4.5,0.048,27,133,0.9946,3.24,0.42,10.6,"5","white","California","white"
5943,6.7,0.48,0.49,2.9,0.03,28,122,0.98926,3.13,0.4,13,"6",NA,"Texas","white"
5944,8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,"6",NA,"Texas","red"
5945,9.4,0.16,0.3,1.4,0.042,26,176,0.9954,3.15,0.46,9.1,"6",NA,"Texas","white"
5946,6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,"6",NA,"California","white"
5947,6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,"6",NA,"California","white"
5948,12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,"6","red","Texas","red"
5949,6.7,0.18,0.37,1.3,0.027,42,125,0.98939,3.24,0.37,12.8,"6","white","California","white"
5950,5,0.255,0.22,2.7,0.043,46,153,0.99238,3.75,0.76,11.3,"6","white","California","white"
5951,7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,"5","white","California","white"
5952,10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,"6","red","California","red"
5953,7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,"6","red","Texas","red"
5954,5.7,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,"7","white","Texas","white"
5955,7.7,0.28,0.58,12.1,0.046,60,177,0.9983,3.08,0.46,8.9,"6","white","Texas","white"
5956,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,"6","red","California","red"
5957,7.4,0.18,0.42,2.1,0.036,33,187,0.9938,3.4,0.41,10.6,"6","white","California","white"
5958,6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,"6","white","Texas","white"
5959,5.8,0.13,0.22,12.7,0.058,24,183,0.9956,3.32,0.42,11.7,"6","white","Texas","white"
5960,7.5,0.22,0.33,6.7,0.036,45,138,0.9939,3.2,0.68,11.4,"6","white","California","white"
5961,13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,"5","red","California","red"
5962,7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,"5","red","Texas","red"
5963,7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,"6","red","California","red"
5964,7.2,0.28,0.3,10.7,0.044,61,222,0.9972,3.14,0.5,9.1,"6","white","California","white"
5965,6.6,0.39,0.38,9.7,0.053,49,226,0.99787,3.3,0.57,9.4,"5","white","California","white"
5966,8.3,0.15,0.39,1.3,0.055,32,146,0.993,3.08,0.39,10.5,"5","white","California","white"
5967,9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,"6","red","Texas","red"
5968,6,0.59,0,0.8,0.037,30,95,0.99032,3.1,0.4,10.9,"6","white","Texas","white"
5969,6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,"6","white","Texas","white"
5970,4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,"5","white","California","white"
5971,6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,"6","white","California","white"
5972,5.8,0.42,0.3,2.2,0.035,26,129,0.989,3.32,0.47,12.9,"6","white","Texas","white"
5973,11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,"6","red","Texas","red"
5974,8,0.17,0.29,2.4,0.029,52,119,0.98944,3.03,0.33,12.9,"6","white","California","white"
5975,6.1,0.21,0.3,6.3,0.039,47,136,0.99068,3.27,0.31,12.7,"5","white","California","white"
5976,8.6,0.16,0.38,3.4,0.04,41,143,0.9932,2.95,0.39,10.2,"6","white","California","white"
