ID,type,location
1947,white,California
1948,white,California
1949,white,California
1950,white,California
1951,white,California
1952,white,California
1953,white,Texas
1954,white,Texas
1955,white,California
1956,white,California
1957,red,Texas
1958,white,California
1959,red,Texas
1960,white,Texas
1961,white,Texas
1962,red,California
1963,white,Texas
1964,white,Texas
1965,white,Texas
1966,white,Texas
1967,red,California
1968,white,California
1969,white,California
1970,white,California
1971,white,California
1972,white,California
1973,white,California
1974,white,Texas
1975,red,Texas
1976,white,Texas
1977,white,California
1978,white,California
1979,white,California
1980,white,California
1981,white,California
1982,white,California
1983,white,California
1984,white,Texas
1985,red,Texas
1986,white,Texas
1987,white,Texas
1988,white,Texas
1989,white,California
1990,white,California
1991,white,California
1992,white,California
1993,white,Texas
1994,white,California
1995,white,California
1996,white,California
1997,white,California
1998,white,Texas
1999,red,Texas
2000,white,California
2001,white,California
2002,white,California
2003,white,California
2004,red,Texas
2005,white,Texas
2006,white,Texas
2007,white,Texas
2008,red,California
2009,white,California
2010,white,Texas
2011,white,California
2012,white,California
2013,,California
2014,,California
2015,,Texas
2016,,Texas
2017,,Texas
2018,white,California
2019,white,California
2020,white,California
2021,white,California
2022,red,California
2023,white,Texas
2024,white,Texas
2025,white,California
2026,white,California
2027,red,California
2028,white,Texas
2029,white,Texas
2030,red,Texas
2031,white,California
2032,red,California
2033,white,California
2034,white,California
2035,white,Texas
2036,white,Texas
2037,white,California
2038,red,California
2039,white,California
2040,white,California
2041,white,California
2042,white,California
2043,white,Texas
2044,white,California
2045,white,Texas
2046,red,California
2047,white,California
2048,white,California
2049,white,Texas
2050,red,Texas
2051,white,California
2052,white,Texas
2053,red,Texas
2054,white,California
2055,white,California
2056,white,California
2057,white,Texas
2058,white,Texas
2059,white,California
2060,white,California
2061,white,California
2062,red,California
2063,white,Texas
2064,white,Texas
2065,white,California
2066,white,Texas
2067,white,California
2068,white,Texas
2069,white,Texas
2070,white,Texas
2071,white,California
2072,red,Texas
2073,white,Texas
2074,white,California
2075,white,California
2076,white,California
2077,white,California
2078,white,Texas
2079,red,Texas
2080,white,California
2081,red,Texas
2082,white,Texas
2083,white,Texas
2084,red,California
2085,white,Texas
2086,white,California
2087,white,Texas
2088,white,Texas
2089,white,California
2090,white,California
2091,white,California
2092,white,California
2093,red,Texas
2094,white,Texas
2095,white,California
2096,red,Texas
2097,red,California
2098,white,California
2099,red,Texas
2100,red,Texas
2101,white,California
2102,white,California
2103,white,California
2104,white,California
2105,white,California
2106,red,Texas
2107,white,California
2108,red,Texas
2109,white,California
2110,white,California
2111,red,Texas
2112,white,California
2113,white,Texas
2114,white,California
2115,white,Texas
2116,white,California
2117,white,Texas
2118,white,Texas
2119,red,Texas
2120,white,California
2121,white,Texas
2122,white,California
2123,white,California
2124,red,Texas
2125,white,California
2126,white,California
2127,white,California
2128,white,California
2129,white,California
2130,white,California
2131,white,California
2132,white,California
2133,red,California
2134,red,California
2135,white,California
2136,red,California
2137,white,California
2138,white,California
2139,red,Texas
2140,white,California
2141,white,California
2142,white,Texas
2143,white,California
2144,white,Texas
2145,white,California
2146,red,Texas
2147,white,Texas
2148,red,Texas
2149,white,Texas
2150,white,California
2151,white,California
2152,white,California
2153,white,California
2154,white,California
2155,white,California
2156,white,California
2157,red,Texas
2158,white,California
2159,white,California
2160,white,California
2161,red,Texas
2162,white,California
2163,white,Texas
2164,red,California
2165,white,Texas
2166,red,Texas
2167,white,California
2168,white,California
2169,red,California
2170,red,Texas
2171,white,California
2172,white,Texas
2173,white,California
2174,white,California
2175,red,Texas
2176,white,Texas
2177,red,Texas
2178,white,California
2179,red,Texas
2180,red,California
2181,white,Texas
2182,red,California
2183,red,California
2184,white,California
2185,white,California
2186,white,Texas
2187,white,Texas
2188,white,California
2189,white,California
2190,red,Texas
2191,white,Texas
2192,white,California
2193,white,California
2194,red,California
2195,white,Texas
2196,red,Texas
2197,white,Texas
2198,white,California
2199,white,California
2200,white,Texas
2201,white,Texas
2202,white,Texas
2203,white,Texas
2204,white,Texas
2205,white,California
2206,white,Texas
2207,white,Texas
2208,white,California
2209,red,California
2210,red,California
2211,white,California
2212,white,Texas
2213,red,Texas
2214,white,California
2215,white,California
2216,red,California
2217,red,Texas
2218,white,Texas
2219,white,California
2220,white,California
2221,white,California
2222,white,Texas
2223,white,Texas
2224,red,California
2225,white,California
2226,white,Texas
2227,white,California
2228,white,California
2229,white,California
2230,white,California
2231,white,Texas
2232,white,Texas
2233,white,California
2234,white,California
2235,white,Texas
2236,white,Texas
2237,white,California
2238,white,California
2239,white,Texas
2240,white,California
2241,white,Texas
2242,white,Texas
2243,white,Texas
2244,white,California
2245,white,California
2246,red,California
2247,white,California
2248,red,Texas
2249,white,California
2250,white,Texas
2251,white,Texas
2252,red,California
2253,white,Texas
2254,white,Texas
2255,red,California
2256,white,California
2257,white,California
2258,white,California
2259,white,California
2260,red,Texas
2261,red,California
2262,white,Texas
2263,red,California
2264,white,California
2265,white,California
2266,red,California
2267,white,California
2268,white,California
2269,red,Texas
2270,white,California
2271,white,Texas
2272,white,California
2273,white,California
2274,white,California
2275,white,Texas
2276,red,California
2277,red,California
2278,white,California
2279,white,California
2280,white,California
2281,white,California
2282,red,Texas
2283,white,California
2284,white,Texas
2285,,Texas
2286,,Texas
2287,,Texas
2288,,Texas
2289,,California
2290,white,Texas
2291,red,California
2292,white,California
2293,white,Texas
2294,red,Texas
2295,white,California
2296,white,California
2297,white,Texas
2298,white,Texas
2299,red,Texas
2300,red,Texas
2301,red,Texas
2302,white,Texas
2303,red,California
2304,red,California
2305,red,Texas
2306,white,Texas
2307,white,California
2308,white,California
2309,white,California
2310,white,Texas
2311,white,California
2312,white,California
2313,white,California
2314,red,Texas
2315,white,California
2316,white,Texas
2317,red,California
2318,red,Texas
2319,red,California
2320,white,California
2321,white,California
2322,red,California
2323,white,California
2324,white,California
2325,red,California
2326,white,Texas
2327,white,California
2328,white,California
2329,white,California
2330,white,California
2331,white,Texas
2332,white,Texas
2333,white,California
2334,red,Texas
2335,red,California
2336,red,California
2337,white,California
2338,white,California
2339,white,Texas
2340,white,California
2341,red,Texas
2342,red,California
2343,red,California
2344,white,Texas
2345,white,California
2346,white,Texas
2347,white,California
2348,red,California
2349,white,California
2350,white,California
2351,red,California
2352,white,California
2353,white,California
2354,white,California
2355,white,California
2356,white,California
2357,white,California
2358,white,Texas
2359,white,California
2360,white,California
2361,red,California
2362,white,California
2363,white,Texas
2364,white,California
2365,red,Texas
2366,white,California
2367,white,California
2368,red,Texas
2369,white,California
2370,white,California
2371,white,Texas
2372,white,California
2373,white,California
2374,red,California
2375,white,California
2376,white,Texas
2377,white,Texas
2378,red,Texas
2379,white,California
2380,white,California
2381,white,California
2382,red,Texas
2383,red,Texas
2384,white,California
2385,white,Texas
2386,white,California
2387,white,California
2388,white,California
2389,white,Texas
2390,white,California
2391,white,Texas
2392,white,California
2393,white,California
2394,white,California
2395,white,Texas
2396,white,California
2397,white,California
2398,red,California
2399,red,California
2400,white,Texas
2401,white,Texas
2402,white,California
2403,white,California
2404,white,Texas
2405,white,Texas
2406,white,California
2407,white,California
2408,red,California
2409,red,California
2410,white,Texas
2411,white,Texas
2412,red,California
2413,white,California
2414,white,California
2415,red,Texas
2416,white,Texas
2417,white,California
2418,red,Texas
2419,white,California
2420,red,Texas
2421,white,Texas
2422,white,California
2423,white,California
2424,white,California
2425,red,California
2426,white,California
2427,white,California
2428,white,Texas
2429,white,Texas
2430,red,California
2431,white,California
2432,white,Texas
2433,white,California
2434,white,California
2435,white,California
2436,white,Texas
2437,white,California
2438,white,Texas
2439,white,California
2440,white,Texas
2441,white,California
2442,white,California
2443,red,California
2444,white,California
2445,white,California
2446,white,Texas
2447,white,Texas
2448,white,Texas
2449,red,California
2450,white,California
2451,red,California
2452,red,California
2453,white,Texas
2454,red,California
2455,red,California
2456,white,Texas
2457,white,California
2458,red,California
2459,white,Texas
2460,white,Texas
2461,white,California
2462,white,Texas
2463,white,California
2464,white,California
2465,white,California
2466,white,Texas
2467,white,California
2468,white,California
2469,white,Texas
2470,white,Texas
2471,red,California
2472,white,Texas
2473,white,Texas
2474,red,Texas
2475,red,Texas
2476,white,California
2477,red,California
2478,white,California
2479,red,Texas
2480,white,California
2481,white,California
2482,red,Texas
2483,red,Texas
2484,white,Texas
2485,white,California
2486,white,California
2487,white,California
2488,red,Texas
2489,white,Texas
2490,white,California
2491,white,California
2492,red,California
2493,red,Texas
2494,white,California
2495,red,California
2496,white,Texas
2497,white,California
2498,white,California
2499,red,California
2500,white,California
2501,white,Texas
2502,white,California
2503,white,California
2504,white,Texas
2505,white,California
2506,white,California
2507,white,California
2508,red,Texas
2509,white,Texas
2510,white,Texas
2511,red,Texas
2512,white,California
2513,white,Texas
2514,white,California
2515,white,Texas
2516,white,California
2517,white,California
2518,white,Texas
2519,white,California
2520,red,Texas
2521,white,California
2522,white,Texas
2523,white,California
2524,white,Texas
2525,white,California
2526,red,Texas
2527,white,California
2528,red,Texas
2529,white,California
2530,white,Texas
2531,red,California
2532,red,Texas
2533,white,California
2534,red,California
2535,red,California
2536,white,California
2537,red,California
2538,white,Texas
2539,white,California
2540,red,California
2541,white,Texas
2542,white,Texas
2543,white,California
2544,red,Texas
2545,white,California
2546,white,California
2547,white,Texas
2548,red,Texas
2549,white,California
2550,red,California
2551,red,Texas
2552,white,Texas
2553,white,Texas
2554,white,California
2555,red,California
2556,white,Texas
2557,red,California
2558,white,California
2559,red,Texas
2560,red,California
2561,white,California
2562,white,California
2563,white,California
2564,white,California
2565,red,Texas
2566,red,California
2567,white,California
2568,white,California
2569,white,California
2570,white,California
2571,red,California
2572,white,California
2573,white,Texas
2574,white,California
2575,white,California
2576,white,Texas
2577,white,California
2578,red,California
2579,white,Texas
2580,red,Texas
2581,white,California
2582,white,Texas
2583,white,California
2584,white,California
2585,white,Texas
2586,white,Texas
2587,white,California
2588,white,Texas
2589,red,California
2590,white,California
2591,red,California
2592,white,California
2593,red,Texas
2594,white,Texas
2595,white,Texas
2596,white,California
2597,white,California
2598,white,Texas
2599,white,California
2600,white,California
2601,red,Texas
2602,white,Texas
2603,white,Texas
2604,white,California
2605,white,California
2606,red,Texas
2607,white,California
2608,white,California
2609,white,Texas
2610,white,Texas
2611,white,California
2612,white,California
2613,red,Texas
2614,white,California
2615,white,California
2616,white,California
2617,red,Texas
2618,white,California
2619,white,California
2620,red,Texas
2621,white,California
2622,white,Texas
2623,white,Texas
2624,white,California
2625,red,Texas
2626,white,California
2627,white,California
2628,white,California
2629,white,California
2630,white,California
2631,white,Texas
2632,red,California
2633,white,Texas
2634,white,California
2635,white,California
2636,white,California
2637,white,Texas
2638,red,Texas
2639,red,California
2640,white,Texas
2641,white,California
2642,white,California
2643,white,Texas
2644,white,Texas
2645,white,California
2646,white,California
2647,white,Texas
2648,white,Texas
2649,white,California
2650,white,California
2651,white,Texas
2652,white,California
2653,white,California
2654,white,Texas
2655,white,Texas
2656,white,California
2657,white,California
2658,white,California
2659,white,California
2660,white,Texas
2661,white,California
2662,white,California
2663,red,California
2664,white,California
2665,white,Texas
2666,white,California
2667,white,Texas
2668,white,Texas
2669,red,California
2670,white,California
2671,white,Texas
2672,white,Texas
2673,white,California
2674,white,California
2675,white,California
2676,white,California
2677,red,Texas
2678,white,Texas
2679,white,California
2680,white,California
2681,white,Texas
2682,white,California
2683,white,California
2684,red,California
2685,white,California
2686,white,California
2687,red,Texas
2688,white,California
2689,white,Texas
2690,white,California
2691,white,California
2692,white,California
2693,red,Texas
2694,white,Texas
2695,red,California
2696,white,Texas
2697,white,California
2698,white,Texas
2699,white,Texas
2700,white,Texas
2701,white,California
2702,red,Texas
2703,white,California
2704,white,Texas
2705,red,California
2706,white,California
2707,red,California
2708,white,California
2709,white,California
2710,white,California
2711,white,California
2712,white,Texas
2713,white,Texas
2714,red,California
2715,red,Texas
2716,red,Texas
2717,white,California
2718,white,California
2719,red,Texas
2720,red,California
2721,white,California
2722,white,Texas
2723,white,California
2724,white,California
2725,white,California
2726,white,California
2727,white,Texas
2728,red,California
2729,white,California
2730,white,California
2731,white,California
2732,white,Texas
2733,white,Texas
2734,white,Texas
2735,white,Texas
2736,white,Texas
2737,white,California
2738,white,California
2739,white,California
2740,white,California
2741,white,California
2742,white,California
2743,white,California
2744,red,Texas
2745,white,Texas
2746,red,California
2747,red,Texas
2748,red,Texas
2749,red,Texas
2750,white,California
2751,red,California
2752,white,Texas
2753,white,California
2754,red,California
2755,white,California
2756,white,Texas
2757,white,Texas
2758,white,Texas
2759,white,California
2760,white,Texas
2761,white,California
2762,white,California
2763,white,California
2764,red,California
2765,red,Texas
2766,white,California
2767,white,Texas
2768,white,California
2769,white,California
2770,red,California
2771,white,Texas
2772,white,California
2773,white,California
2774,white,California
2775,red,Texas
2776,red,California
2777,white,Texas
2778,white,California
2779,white,California
2780,white,Texas
2781,white,California
2782,white,California
2783,white,California
2784,red,California
2785,red,Texas
2786,white,Texas
2787,white,California
2788,white,California
2789,white,California
2790,red,Texas
2791,white,Texas
2792,red,Texas
2793,white,Texas
2794,white,Texas
2795,white,Texas
2796,white,California
2797,white,Texas
2798,white,California
2799,white,California
2800,white,Texas
2801,red,Texas
2802,red,California
2803,white,Texas
2804,red,Texas
2805,white,California
2806,red,Texas
2807,red,California
2808,white,California
2809,white,Texas
2810,white,Texas
2811,white,California
2812,white,Texas
2813,white,California
2814,white,Texas
2815,white,Texas
2816,white,Texas
2817,white,California
2818,white,California
2819,red,California
2820,white,Texas
2821,white,California
2822,white,California
2823,white,Texas
2824,red,California
2825,white,California
2826,white,California
2827,white,California
2828,white,Texas
2829,red,Texas
2830,white,California
2831,white,Texas
2832,white,California
2833,white,California
2834,white,California
2835,white,California
2836,white,California
2837,white,California
2838,red,Texas
2839,white,California
2840,white,California
2841,white,California
2842,white,Texas
2843,red,California
2844,white,California
2845,white,California
2846,red,Texas
2847,white,California
2848,white,Texas
2849,white,California
2850,white,Texas
2851,white,California
2852,white,California
2853,white,Texas
2854,,California
2855,,California
2856,,Texas
2857,,California
2858,,California
2859,,California
2860,white,Texas
2861,red,Texas
2862,white,Texas
2863,white,Texas
2864,white,Texas
2865,red,Texas
2866,white,California
2867,white,California
2868,red,California
2869,red,Texas
2870,white,California
2871,white,California
2872,white,Texas
2873,red,Texas
2874,red,California
2875,white,California
2876,white,California
2877,white,Texas
2878,white,California
2879,white,California
2880,white,Texas
2881,white,California
2882,white,California
2883,white,Texas
2884,white,California
2885,white,California
2886,white,California
2887,white,California
2888,white,California
2889,white,California
2890,white,California
2891,white,Texas
2892,white,California
2893,white,California
2894,white,California
2895,red,Texas
2896,red,California
2897,white,California
2898,white,California
2899,red,Texas
2900,white,Texas
2901,white,California
2902,white,California
2903,red,California
2904,white,Texas
2905,white,California
2906,red,Texas
2907,white,Texas
2908,red,California
2909,red,California
2910,white,Texas
2911,white,Texas
2912,white,California
2913,white,California
2914,red,California
2915,red,California
2916,white,California
2917,red,Texas
2918,white,California
2919,white,California
2920,red,California
2921,white,California
2922,white,California
2923,red,Texas
2924,white,California
2925,white,Texas
2926,white,California
2927,white,California
2928,white,California
2929,white,Texas
2930,white,Texas
2931,white,California
2932,red,Texas
2933,red,Texas
2934,white,California
2935,white,California
2936,white,California
2937,white,Texas
2938,white,Texas
2939,white,Texas
2940,white,Texas
2941,red,Texas
2942,white,California
2943,white,California
2944,white,Texas
2945,white,California
2946,white,California
2947,red,California
2948,white,California
2949,white,California
2950,white,California
2951,white,California
2952,red,California
2953,white,California
2954,red,California
2955,red,California
2956,white,California
2957,red,California
2958,white,Texas
2959,red,Texas
2960,white,Texas
2961,white,Texas
2962,white,Texas
2963,red,Texas
2964,white,California
2965,white,Texas
2966,white,California
2967,white,California
2968,white,California
2969,white,California
2970,white,California
2971,red,Texas
2972,white,Texas
2973,white,Texas
2974,white,California
2975,red,California
2976,red,Texas
2977,red,California
2978,red,California
2979,white,California
2980,white,Texas
2981,white,Texas
2982,white,Texas
2983,white,Texas
2984,white,Texas
2985,white,Texas
2986,white,California
2987,white,Texas
2988,white,Texas
2989,white,Texas
2990,white,California
2991,white,California
2992,red,California
2993,white,Texas
2994,red,California
2995,white,California
2996,white,Texas
2997,white,California
2998,white,Texas
2999,white,Texas
3000,white,California
3001,white,California
3002,white,Texas
3003,red,Texas
3004,red,California
3005,white,Texas
3006,red,California
3007,white,California
3008,white,California
3009,red,California
3010,white,California
3011,red,California
3012,white,California
3013,white,Texas
3014,white,Texas
3015,white,California
3016,white,California
3017,white,California
3018,red,California
3019,white,Texas
3020,red,Texas
3021,white,California
3022,white,California
3023,white,Texas
3024,white,Texas
3025,white,California
3026,white,Texas
3027,white,California
3028,white,California
3029,white,Texas
3030,red,Texas
3031,white,California
3032,white,Texas
3033,white,California
3034,red,California
3035,white,California
3036,red,California
3037,white,California
3038,white,California
3039,white,Texas
3040,white,California
3041,white,California
3042,white,Texas
3043,white,California
3044,red,Texas
3045,white,Texas
3046,white,California
3047,white,California
3048,white,Texas
3049,white,California
3050,white,California
3051,white,Texas
3052,white,Texas
3053,white,Texas
3054,white,Texas
3055,red,California
3056,red,California
3057,red,California
3058,white,Texas
3059,white,California
3060,white,Texas
3061,white,Texas
3062,white,California
3063,red,California
3064,white,California
3065,red,Texas
3066,white,California
3067,white,California
3068,white,California
3069,white,California
3070,red,California
3071,white,California
3072,white,California
3073,red,Texas
3074,white,California
3075,red,California
3076,red,Texas
3077,white,California
3078,red,California
3079,red,Texas
3080,white,California
3081,white,Texas
3082,white,California
3083,red,Texas
3084,red,California
3085,white,California
3086,white,Texas
3087,white,California
3088,red,Texas
3089,white,California
3090,white,Texas
3091,red,Texas
3092,white,California
3093,red,California
3094,white,California
3095,white,California
3096,red,California
3097,red,Texas
3098,white,Texas
3099,white,Texas
3100,white,California
3101,red,Texas
3102,white,California
3103,red,California
3104,red,California
3105,white,Texas
3106,white,Texas
3107,white,California
3108,white,Texas
3109,white,California
3110,white,California
3111,red,Texas
3112,white,California
3113,white,Texas
3114,white,California
3115,white,Texas
3116,white,Texas
3117,white,California
3118,white,California
3119,red,Texas
3120,white,California
3121,white,California
3122,white,Texas
3123,white,California
3124,red,Texas
3125,white,California
3126,red,Texas
3127,white,California
3128,white,California
3129,white,California
3130,white,Texas
3131,white,California
3132,red,California
3133,white,California
3134,red,Texas
3135,white,Texas
3136,white,Texas
3137,red,Texas
3138,white,California
3139,red,California
3140,white,California
3141,white,California
3142,white,California
3143,white,California
3144,white,California
3145,red,Texas
3146,red,Texas
3147,white,California
3148,white,California
3149,white,California
3150,white,Texas
3151,white,California
3152,white,California
3153,red,Texas
3154,red,California
3155,white,Texas
3156,red,California
3157,white,Texas
3158,white,California
3159,red,Texas
3160,white,California
3161,white,California
3162,red,Texas
3163,white,California
3164,white,California
3165,white,California
3166,white,California
3167,red,California
3168,white,Texas
3169,red,Texas
3170,red,California
3171,white,California
3172,white,California
3173,white,Texas
3174,white,Texas
3175,white,Texas
3176,white,California
3177,white,California
3178,white,California
3179,white,California
3180,red,Texas
3181,red,Texas
3182,white,California
3183,white,California
3184,white,California
3185,white,Texas
3186,white,Texas
3187,white,California
3188,white,California
3189,white,Texas
3190,red,Texas
3191,white,California
3192,white,Texas
3193,white,Texas
3194,white,California
3195,white,California
3196,white,California
3197,white,California
3198,white,California
3199,white,California
3200,white,California
3201,white,Texas
3202,white,Texas
3203,white,Texas
3204,white,California
3205,red,Texas
3206,white,California
3207,white,Texas
3208,white,California
3209,white,California
3210,red,California
3211,white,California
3212,white,Texas
3213,red,Texas
3214,white,California
3215,white,Texas
3216,white,Texas
3217,white,California
3218,white,Texas
3219,white,California
3220,white,California
3221,white,California
3222,white,California
3223,white,California
3224,white,Texas
3225,red,Texas
3226,white,California
3227,white,Texas
3228,red,California
3229,white,Texas
3230,red,Texas
3231,red,California
3232,white,Texas
3233,white,California
3234,white,California
3235,white,Texas
3236,white,California
3237,white,California
3238,white,California
3239,white,Texas
3240,white,Texas
3241,white,California
3242,white,Texas
3243,white,California
3244,white,California
3245,white,California
3246,red,Texas
3247,red,California
3248,white,Texas
3249,,California
3250,,Texas
3251,,Texas
3252,,Texas
3253,,California
3254,,Texas
3255,red,California
3256,white,California
3257,white,California
3258,white,Texas
3259,white,California
3260,white,Texas
3261,white,California
3262,white,Texas
3263,white,California
3264,white,California
3265,white,California
3266,white,Texas
3267,white,Texas
3268,white,California
3269,white,Texas
3270,white,California
3271,white,California
3272,white,Texas
3273,white,Texas
3274,white,California
3275,red,California
3276,white,California
3277,red,Texas
3278,white,Texas
3279,white,California
3280,white,California
3281,white,California
3282,white,California
3283,white,Texas
3284,white,California
3285,white,California
3286,white,California
3287,white,California
3288,white,California
3289,white,California
3290,white,California
3291,white,California
3292,white,California
3293,white,California
3294,white,California
3295,white,California
3296,white,California
3297,white,Texas
3298,white,Texas
3299,red,Texas
3300,white,California
3301,white,California
3302,white,California
3303,white,California
3304,red,Texas
3305,white,California
3306,white,Texas
3307,white,California
3308,red,Texas
3309,white,Texas
3310,white,California
3311,white,California
3312,red,Texas
3313,white,Texas
3314,white,Texas
3315,red,California
3316,white,California
3317,white,California
3318,white,California
3319,white,Texas
3320,white,Texas
3321,white,California
3322,white,California
3323,white,Texas
3324,white,California
3325,white,Texas
3326,white,Texas
3327,white,California
3328,white,Texas
3329,white,California
3330,white,California
3331,white,California
3332,red,Texas
3333,white,California
3334,white,California
3335,white,California
3336,white,California
3337,red,Texas
3338,red,California
3339,white,Texas
3340,white,California
3341,white,Texas
3342,white,Texas
3343,white,Texas
3344,white,California
3345,red,California
3346,white,California
3347,white,California
3348,white,California
3349,white,Texas
3350,white,California
3351,white,California
3352,white,California
3353,white,Texas
3354,red,Texas
3355,white,Texas
3356,red,California
3357,white,Texas
3358,white,Texas
3359,white,California
3360,white,California
3361,white,California
3362,white,California
3363,red,California
3364,white,Texas
3365,white,California
3366,red,California
3367,red,Texas
3368,white,California
3369,white,California
3370,white,California
3371,white,California
3372,white,California
3373,white,Texas
3374,white,Texas
3375,white,Texas
3376,red,Texas
3377,red,California
3378,white,California
3379,red,California
3380,red,California
3381,white,California
3382,white,California
3383,white,Texas
3384,white,California
3385,white,California
3386,white,Texas
3387,white,California
3388,white,California
3389,red,Texas
3390,white,California
3391,white,California
3392,white,California
3393,white,Texas
3394,red,California
3395,white,California
3396,white,California
3397,white,California
3398,white,Texas
3399,white,Texas
3400,white,California
3401,white,California
3402,white,Texas
3403,red,California
3404,white,Texas
3405,red,Texas
3406,white,California
3407,white,California
3408,white,California
3409,red,Texas
3410,white,California
3411,red,California
3412,white,Texas
3413,white,Texas
3414,white,Texas
3415,white,California
3416,white,Texas
3417,red,California
3418,white,California
3419,white,California
3420,white,California
3421,white,California
3422,white,California
3423,white,Texas
3424,white,California
3425,white,Texas
3426,red,Texas
3427,white,California
3428,red,California
3429,white,Texas
3430,white,California
3431,red,California
3432,white,California
3433,white,California
3434,red,California
3435,white,California
3436,white,Texas
3437,red,Texas
3438,white,Texas
3439,white,Texas
3440,white,California
3441,white,Texas
3442,white,California
3443,white,California
3444,white,California
3445,white,Texas
3446,white,California
3447,white,California
3448,white,Texas
3449,white,California
3450,white,California
3451,red,California
3452,white,Texas
3453,red,Texas
3454,red,Texas
3455,white,California
3456,white,Texas
3457,white,Texas
3458,red,California
3459,red,California
3460,red,California
3461,red,Texas
3462,red,California
3463,white,California
3464,white,California
3465,red,Texas
3466,white,California
3467,white,Texas
3468,red,California
3469,white,California
3470,white,California
3471,white,California
3472,white,Texas
3473,white,California
3474,white,Texas
3475,red,Texas
3476,red,Texas
3477,white,California
3478,white,California
3479,white,California
3480,white,Texas
3481,red,Texas
3482,white,California
3483,white,California
3484,white,California
3485,white,California
3486,white,California
3487,white,Texas
3488,white,California
3489,white,California
3490,white,California
3491,white,California
3492,white,Texas
3493,white,Texas
3494,white,California
3495,white,California
3496,red,Texas
3497,red,Texas
3498,red,California
3499,white,California
3500,white,Texas
3501,white,California
3502,white,California
3503,white,California
3504,white,Texas
3505,white,California
3506,white,California
3507,red,Texas
3508,white,Texas
3509,red,California
3510,white,Texas
3511,white,California
3512,white,Texas
3513,white,California
3514,white,California
3515,white,Texas
3516,red,Texas
3517,white,California
3518,white,California
3519,white,California
3520,white,California
3521,white,Texas
3522,white,California
3523,red,California
3524,white,Texas
3525,white,California
3526,white,Texas
3527,white,California
3528,white,California
3529,white,California
3530,white,Texas
3531,white,California
3532,white,California
3533,white,Texas
3534,white,Texas
3535,white,California
3536,white,California
3537,white,Texas
3538,red,Texas
3539,red,Texas
3540,red,Texas
3541,red,Texas
3542,white,California
3543,white,Texas
3544,white,California
3545,white,California
3546,red,Texas
3547,white,California
3548,red,Texas
3549,white,California
3550,red,California
3551,white,California
3552,white,California
3553,white,Texas
3554,white,Texas
3555,white,California
3556,white,California
3557,white,California
3558,red,California
3559,white,Texas
3560,white,California
3561,white,California
3562,white,California
3563,white,California
3564,white,California
3565,red,California
3566,white,California
3567,white,California
3568,white,California
3569,white,Texas
3570,white,California
3571,white,California
3572,red,Texas
3573,white,California
3574,red,Texas
3575,white,Texas
3576,white,Texas
3577,red,Texas
3578,white,California
3579,white,Texas
3580,red,Texas
3581,white,Texas
3582,white,California
3583,red,California
3584,white,California
3585,white,California
3586,white,California
3587,red,Texas
3588,white,California
3589,red,California
3590,white,California
3591,white,California
3592,white,Texas
3593,white,California
3594,white,California
3595,white,Texas
3596,white,Texas
3597,white,California
3598,white,Texas
3599,white,California
3600,white,California
3601,white,California
3602,white,California
3603,red,California
3604,red,Texas
3605,white,California
3606,red,California
3607,white,California
3608,white,California
3609,white,California
3610,white,California
3611,white,California
3612,white,California
3613,red,Texas
3614,white,California
3615,white,California
3616,white,Texas
3617,white,California
3618,white,Texas
3619,red,Texas
3620,white,California
3621,white,California
3622,red,Texas
3623,white,California
3624,white,Texas
3625,white,Texas
3626,white,California
3627,white,California
3628,white,Texas
3629,white,California
3630,white,California
3631,red,Texas
3632,red,California
3633,white,Texas
3634,red,California
3635,white,California
3636,white,California
3637,white,California
3638,white,Texas
3639,white,California
3640,white,California
3641,white,California
3642,white,Texas
3643,white,California
3644,white,California
3645,red,California
3646,white,Texas
3647,white,California
3648,white,California
3649,white,Texas
3650,white,California
3651,white,California
3652,red,California
3653,white,California
3654,white,Texas
3655,red,Texas
3656,red,California
3657,white,California
3658,red,California
3659,white,Texas
3660,white,California
3661,red,California
3662,red,Texas
3663,white,California
3664,white,California
3665,white,California
3666,red,California
3667,red,California
3668,white,Texas
3669,white,California
3670,white,Texas
3671,white,California
3672,white,California
3673,white,Texas
3674,white,California
3675,white,California
3676,white,Texas
3677,white,California
3678,red,Texas
3679,white,Texas
3680,white,Texas
3681,white,California
3682,white,Texas
3683,white,California
3684,white,California
3685,red,California
3686,white,California
3687,red,Texas
3688,red,Texas
3689,white,Texas
3690,white,Texas
3691,white,Texas
3692,white,California
3693,white,Texas
3694,white,California
3695,white,California
3696,white,California
3697,white,Texas
3698,white,California
3699,white,California
3700,red,California
3701,white,Texas
3702,white,Texas
3703,white,Texas
3704,white,Texas
3705,white,Texas
3706,white,California
3707,red,Texas
3708,white,Texas
3709,white,Texas
3710,red,California
3711,red,Texas
3712,white,Texas
3713,white,California
3714,white,Texas
3715,white,Texas
3716,red,Texas
3717,white,California
3718,white,Texas
3719,red,Texas
3720,red,California
3721,white,California
3722,white,California
3723,white,Texas
3724,white,Texas
3725,white,California
3726,white,California
3727,white,California
3728,white,Texas
3729,white,Texas
3730,white,California
3731,white,California
3732,white,California
3733,red,California
3734,red,California
3735,white,California
3736,white,California
3737,white,California
3738,red,Texas
3739,white,Texas
3740,white,California
3741,red,Texas
3742,red,Texas
3743,white,California
3744,red,Texas
3745,white,Texas
3746,red,Texas
